timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
78341254,0.98104525,0.030546607,0.004416871,0.19130552,1.0,1.9787263e-09,4.5908e-11,-0.0001795194,2
78345256,0.98104644,0.030601958,0.0044572637,0.1912895,1.0,1.9787263e-09,4.5908e-11,-0.0001795194,2
78349256,0.98105043,0.030583605,0.004459494,0.19127193,1.0,1.9787263e-09,4.5908e-11,-0.0001795194,2
78353275,0.9810543,0.030534608,0.004509617,0.1912588,1.0,1.9787263e-09,4.5908e-11,-0.0001795194,2
78357262,0.98105055,0.030553002,0.0045595616,0.19127338,1.0,1.9787263e-09,4.5908e-11,-0.0001795194,2
78361256,0.9810458,0.0305341,0.0045296247,0.19130225,1.0,1.9787263e-09,4.5908e-11,-0.0001795194,2
78365256,0.98104215,0.030478938,0.004568289,0.1913286,1.0,1.9787263e-09,4.5908e-11,-0.0001795194,2
78369308,0.981039,0.030493613,0.0045758043,0.19134189,1.0,1.9787263e-09,4.5908e-11,-0.0001795194,2
78373256,0.9810406,0.030445997,0.0045547844,0.19134167,1.0,1.9787263e-09,4.5908e-11,-0.0001795194,2
78377260,0.9810429,0.030423636,0.0045897975,0.19133314,1.0,1.9787263e-09,4.5908e-11,-0.0001795194,2
78381279,0.9810421,0.03041063,0.0046024146,0.19133866,1.0,1.9787263e-09,4.5908e-11,-0.0001795194,2
78386103,0.98103917,0.030357102,0.0046008024,0.1913621,1.0,1.9787263e-09,4.5908e-11,-0.0001795194,2
78390054,0.9810378,0.030372709,0.0046053114,0.1913667,1.0,1.9787263e-09,4.5908e-11,-0.0001795194,2
78394054,0.98104095,0.030326208,0.004607241,0.19135764,1.0,1.9787263e-09,4.5908e-11,-0.0001795194,2
78398068,0.98104775,0.030292118,0.0045870547,0.19132921,1.0,1.9787263e-09,4.5908e-11,-0.0001795194,2
78402054,0.9810543,0.030295784,0.004578196,0.19129454,1.0,1.9787263e-09,4.5908e-11,-0.0001795194,2
78406054,0.98105776,0.030239744,0.004602212,0.19128576,1.0,1.9787263e-09,4.5908e-11,-0.0001795194,2
78410054,0.9810576,0.03023817,0.004546158,0.19128804,1.0,1.9787263e-09,4.5908e-11,-0.0001795194,2
78414054,0.9810565,0.03021879,0.0045382236,0.19129647,1.0,1.9787263e-09,4.5908e-11,-0.0001795194,2
78418067,0.981057,0.03020768,0.00453428,0.19129594,1.0,1.9787263e-09,4.5908e-11,-0.0001795194,2
78422054,0.98106205,0.030216696,0.004473047,0.19126989,1.0,1.9787263e-09,4.5908e-11,-0.0001795194,2
78426075,0.9810639,0.030227197,0.0044780658,0.1912592,1.0,1.9787263e-09,4.5908e-11,-0.0001795194,2
