timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
11727165,11727055,-0.43383524,-0.5017772,0.09707658,0.05513535,0.0,0.0,0.0,-1.0
11735973,11735860,-0.40262213,-0.54083216,0.06558543,0.06276196,0.0,0.0,0.0,-1.0
11851270,11851142,-0.038918592,-0.23786284,0.69313127,0.14780675,0.0,0.0,0.0,-1.0
11855157,11855055,-0.012621753,-0.20128563,0.68075347,0.14780675,0.0,0.0,0.0,-1.0
11857564,11857454,0.048327867,-0.1734209,0.6769908,0.14780675,0.0,0.0,0.0,-1.0
11861579,11861470,0.17552266,-0.15893263,0.6739601,0.15079181,0.0,0.0,0.0,-1.0
11864798,11864689,0.080749735,-0.18718098,0.69534934,0.15079181,0.0,0.0,0.0,-1.0
11868766,11868654,0.105692655,-0.16763784,0.67258006,0.15079181,0.0,0.0,0.0,-1.0
11871180,11871069,0.221193,-0.08885151,0.6265398,0.15079181,0.0,0.0,0.0,-1.0
11875198,11875088,0.2368634,-0.09797426,0.6066411,0.15079181,0.0,0.0,0.0,-1.0
11879157,11879055,0.2574131,-0.10130097,0.5703509,0.15079181,0.0,0.0,0.0,-1.0
11882381,11882259,0.32384554,-0.04618288,0.5605273,0.15079181,0.0,0.0,0.0,-1.0
11885592,11885486,0.30996737,-0.041232847,0.53841734,0.15366265,0.0,0.0,0.0,-1.0
11889556,11889454,0.21676192,-0.05407134,0.5139612,0.15366265,0.0,0.0,0.0,-1.0
11892835,11892684,0.25493586,-0.05958392,0.5383442,0.15366265,0.0,0.0,0.0,-1.0
11896766,11896654,0.2770814,-0.06280266,0.54492575,0.15366265,0.0,0.0,0.0,-1.0
11899171,11899062,0.22849175,-0.049807183,0.49238485,0.15366265,0.0,0.0,0.0,-1.0
11903161,11903059,0.20164336,-0.07336367,0.41617933,0.1566774,0.0,0.0,0.0,-1.0
11907177,11907074,0.1795906,-0.06399594,0.35795483,0.1566774,0.0,0.0,0.0,-1.0
11911161,11911055,0.16390014,-0.087451294,0.39493462,0.1566774,0.0,0.0,0.0,-1.0
11914489,11914327,0.16298154,-0.09633159,0.37449995,0.1566774,0.0,0.0,0.0,-1.0
11917559,11917457,0.103618294,-0.1002467,0.2990879,0.1566774,0.0,0.0,0.0,-1.0
11920756,11920654,0.07683697,-0.15296704,0.3057958,0.16033176,0.0,0.0,0.0,-1.0
11924768,11924655,0.091224395,-0.16602041,0.35804772,0.16033176,0.0,0.0,0.0,-1.0
11927189,11927087,0.04952447,-0.14323695,0.32252222,0.16033176,0.0,0.0,0.0,-1.0
11930432,11930261,0.008283812,-0.17116562,0.29049778,0.16033176,0.0,0.0,0.0,-1.0
11935246,11935129,0.016958445,-0.17947955,0.370147,0.16033176,0.0,0.0,0.0,-1.0
11938377,11938259,-0.05109012,-0.13428463,0.34345937,0.16033176,0.0,0.0,0.0,-1.0
11941556,11941454,-0.067302324,-0.14868248,0.3217603,0.16518147,0.0,0.0,0.0,-1.0
11945620,11945462,-0.0025799987,-0.13138719,0.3839134,0.16518147,0.0,0.0,0.0,-1.0
11948763,11948654,-0.083106644,-0.08288483,0.3886026,0.16518147,0.0,0.0,0.0,-1.0
11952792,11952663,-0.16269861,-0.04586964,0.36664405,0.16518147,0.0,0.0,0.0,-1.0
11955960,11955854,-0.016052598,-0.07353605,0.3954437,0.16518147,0.0,0.0,0.0,-1.0
11958407,11958285,-0.029191654,-0.007557668,0.3732657,0.16518147,0.0,0.0,0.0,-1.0
11962381,11962256,-0.12908044,0.06630525,0.33684045,0.16518147,0.0,0.0,0.0,-1.0
11966378,11966261,-0.12997535,0.020231375,0.28718072,0.17105275,0.0,0.0,0.0,-1.0
11969556,11969454,-0.09444366,0.0685149,0.24734336,0.17105275,0.0,0.0,0.0,-1.0
11973619,11973461,-0.08057182,0.14768153,0.23452318,0.17105275,0.0,0.0,0.0,-1.0
11976756,11976654,-0.09061924,0.117079034,0.23519218,0.17105275,0.0,0.0,0.0,-1.0
11980767,11980654,-0.091006,0.083657116,0.23305339,0.17105275,0.0,0.0,0.0,-1.0
11984777,11984665,-0.07319904,0.15754905,0.26158085,0.17105275,0.0,0.0,0.0,-1.0
11986375,11986257,-0.057284605,0.14994709,0.28477344,0.17105275,0.0,0.0,0.0,-1.0
11990374,11990256,-0.04974139,0.047424957,0.30704173,0.17636237,0.0,0.0,0.0,-1.0
11994381,11994254,-0.073443994,0.08502604,0.32920125,0.17636237,0.0,0.0,0.0,-1.0
11997558,11997456,-0.029446203,0.08918759,0.3521313,0.17636237,0.0,0.0,0.0,-1.0
12001556,12001454,0.0051267743,-0.014549094,0.33592454,0.17636237,0.0,0.0,0.0,-1.0
12004758,12004654,-0.025493406,0.008047239,0.34240454,0.17636237,0.0,0.0,0.0,-1.0
12008770,12008656,-0.0616607,0.016414449,0.31814083,0.17636237,0.0,0.0,0.0,-1.0
12011989,12011859,-0.016581021,-0.010296238,0.31262213,0.17636237,0.0,0.0,0.0,-1.0
12014381,12014257,0.04342155,-0.092136994,0.28513062,0.17900802,0.0,0.0,0.0,-1.0
12018377,12018259,-0.05598359,-0.056638997,0.23353244,0.17900802,0.0,0.0,0.0,-1.0
12022379,12022262,-0.06881217,-0.08282833,0.1603778,0.17900802,0.0,0.0,0.0,-1.0
12025559,12025456,0.057364214,-0.15393762,0.12968425,0.17900802,0.0,0.0,0.0,-1.0
12029567,12029454,-0.013967384,-0.12076563,0.14965592,0.17979209,0.0,0.0,0.0,-1.0
12042374,12042257,-0.061228488,-0.1217739,0.18185474,0.17979209,0.0,0.0,0.0,-1.0
12046384,12046259,0.040333837,-0.08496471,0.25530347,0.17979209,0.0,0.0,0.0,-1.0
12050428,12050260,-0.03591293,-0.033390637,0.22259441,0.18069194,0.0,0.0,0.0,-1.0
12053556,12053454,-0.055296812,-0.046706248,0.18967475,0.18069194,0.0,0.0,0.0,-1.0
12057556,12057454,0.06930115,-0.020397753,0.26104742,0.18069194,0.0,0.0,0.0,-1.0
12060756,12060654,0.0010773472,0.054690942,0.24017216,0.18069194,0.0,0.0,0.0,-1.0
12064767,12064654,-0.03968702,0.02208006,0.14107534,0.18069194,0.0,0.0,0.0,-1.0
12067958,12067854,0.058683384,-0.0014165211,0.18995655,0.18069194,0.0,0.0,0.0,-1.0
12070380,12070262,0.04444642,0.06792985,0.12458508,0.18069194,0.0,0.0,0.0,-1.0
12075165,12075054,-0.034462903,0.060909722,0.1381656,0.18101195,0.0,0.0,0.0,-1.0
12077556,12077454,0.08988435,0.032140862,0.09919929,0.18101195,0.0,0.0,0.0,-1.0
12081599,12081461,0.022638332,0.07381463,0.08957754,0.18101195,0.0,0.0,0.0,-1.0
12085563,12085454,-0.07923478,0.11813969,0.039253693,0.18101195,0.0,0.0,0.0,-1.0
12088757,12088655,0.05429279,0.07594126,0.08176468,0.18101195,0.0,0.0,0.0,-1.0
12092773,12092657,0.008620561,0.06454984,0.09939626,0.18101195,0.0,0.0,0.0,-1.0
12096770,12096655,-0.06715401,0.07912466,0.121198155,0.18101195,0.0,0.0,0.0,-1.0
12099173,12099067,0.00548812,0.088922344,0.18876305,0.17982581,0.0,0.0,0.0,-1.0
12103250,12103124,-0.0028786352,0.070450366,0.16017291,0.17982581,0.0,0.0,0.0,-1.0
12105560,12105456,-0.032473568,0.029487457,0.13455155,0.17982581,0.0,0.0,0.0,-1.0
12109567,12109465,0.018503426,0.0402621,0.20378748,0.17982581,0.0,0.0,0.0,-1.0
12113568,12113457,-0.06191824,0.09541617,0.15753824,0.17982581,0.0,0.0,0.0,-1.0
12116775,12116654,-0.04747449,0.021730416,0.11139794,0.17982581,0.0,0.0,0.0,-1.0
12120775,12120655,0.071380645,-0.032573797,0.16071108,0.17861974,0.0,0.0,0.0,-1.0
12123969,12123854,-0.03767584,0.03336246,0.13723277,0.17861974,0.0,0.0,0.0,-1.0
12127159,12127054,-0.068289176,0.049321003,0.113695726,0.17861974,0.0,0.0,0.0,-1.0
12131238,12131063,0.055592965,0.00023138733,0.1305535,0.17861974,0.0,0.0,0.0,-1.0
12133630,12133462,0.015194223,-0.010709802,0.09261367,0.17854735,0.0,0.0,0.0,-1.0
12137557,12137454,-0.06230762,0.012142431,0.06941199,0.17854735,0.0,0.0,0.0,-1.0
12141567,12141454,0.051564142,0.0057918075,0.12628882,0.17854735,0.0,0.0,0.0,-1.0
12144757,12144655,-0.0044748057,0.0026519857,0.091251075,0.17854735,0.0,0.0,0.0,-1.0
12148770,12148654,0.031954855,-0.033933394,0.08490017,0.17854735,0.0,0.0,0.0,-1.0
12153600,12153489,0.033205554,-0.010194809,0.13988246,0.17854735,0.0,0.0,0.0,-1.0
12155224,12155065,-0.02292185,0.018777922,0.12012756,0.17854735,0.0,0.0,0.0,-1.0
12159177,12159054,0.02769472,-0.006241462,0.083107606,0.1788978,0.0,0.0,0.0,-1.0
12161556,12161454,0.17315231,-0.06558613,0.087071456,0.1788978,0.0,0.0,0.0,-1.0
12165556,12165454,-0.007709441,-0.025953624,0.056651246,0.1788978,0.0,0.0,0.0,-1.0
