timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
11850254,-1.4206772,-0.7259385,-0.25988823,3998,0,6.0756445,-2.79066,-6.1935096,3998
11854313,-1.5876328,-0.8163025,-0.22888249,4059,0,1.2458748,-2.3347473,-11.100558,4059
11858282,-2.002484,-1.0715028,-0.23033632,3969,0,-0.12128156,-1.4196063,-13.542288,3969
11862261,-1.8601879,-0.91052616,-0.21457626,3979,0,7.2270565,-1.6717956,-5.12252,3979
11866254,-1.9968266,-1.0370829,-0.17297725,3993,0,0.37212992,-0.6524392,-11.63266,3993
11870259,-2.3162878,-1.3221558,-0.16907184,4005,0,-0.5653172,0.27340314,-14.326891,4005
11874262,-2.174763,-1.137927,-0.11389055,4003,0,8.3210125,-2.6973312,-5.6094365,4003
11878254,-2.4165661,-1.2134285,-0.06536362,3992,0,2.3697393,-0.8100299,-8.221519,3992
11882259,-2.6222944,-1.5304881,-0.062412616,4005,0,-2.5641422,3.4512675,-14.905398,4005
11886282,-2.2452097,-1.394379,0.024354646,4023,0,5.8796334,-2.3791835,-8.269592,4023
11890256,-2.4515076,-1.359652,0.10853094,3974,0,9.137713,-4.3294406,-5.1845727,3974
11894256,-2.5893538,-1.529582,0.08100584,4000,0,-4.2369413,4.8982644,-12.6911955,4000
11898259,-2.2973647,-1.5132463,0.122425705,4003,0,2.3265467,0.12873837,-8.7168045,4003
11902256,-2.3179672,-1.3785007,0.26945964,3997,0,9.132254,-4.005309,-7.238914,3997
11906292,-2.1871166,-1.4921362,0.27506196,4036,0,0.26771474,4.111591,-12.002499,4036
11910257,-2.1621556,-1.4280597,0.27876693,3965,0,0.16370732,1.095269,-11.42481,3965
11914327,-1.949076,-1.4032006,0.43726557,4070,0,5.661927,-0.9835981,-8.864963,4070
11918300,-1.7403239,-1.1739668,0.44380993,3973,0,3.974544,0.45854282,-9.976233,3973
11922257,-1.7800189,-1.1944082,0.43797243,3957,0,2.3816392,1.1998222,-8.884191,3957
11926254,-1.4962811,-1.2123662,0.55336666,3997,0,2.9032214,0.69194925,-10.554825,3997
11930261,-1.3307104,-0.9501529,0.56113344,4007,0,6.8511395,-1.5237046,-6.5798235,4007
