timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
30358460,30358460,8,41,0,0,20003,1497,1517,1116,1113,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
30571766,30571766,8,41,0,0,20003,1496,1516,1132,1119,1012,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
30760463,30760463,8,41,0,0,20004,1497,1516,1234,1203,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
30972075,30972075,8,41,0,0,20003,1497,1516,1286,1269,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
31182492,31182492,8,41,0,0,20004,1529,1511,1298,1284,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
31380926,31380926,8,41,0,0,20003,1539,1493,1315,1327,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
31570219,31570219,8,41,0,0,20003,1552,1484,1341,1371,1013,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
31783315,31783315,8,41,0,0,20003,1589,1486,1354,1398,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
31973989,31973989,8,41,0,0,20004,1539,1514,1403,1499,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
32189556,32189556,8,41,0,0,20004,1498,1514,1334,1582,1012,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
32380194,32380194,8,41,0,0,20003,1497,1514,1303,1742,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
32591830,32591830,8,41,0,0,20004,1498,1515,1343,1729,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
32805818,32805818,8,41,0,0,20004,1574,1514,1382,1701,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
33000077,33000077,8,41,0,0,20003,1582,1514,1402,1679,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
